customer_id,signup_date,region,loyalty_tier,email
C100000,06/25/2021,West,Silver,user0@example.com
C100001,07/16/2021,West,Bronze,user1@example.com
C100002,06/22/2022,East,Gold,user2@example.com
C100003,05/18/2022,North,Gold,user3@example.com
C100004,08/03/2022,North,Silver,user4@example.com
C100005,07/31/2021,West,Gold,user5@example.com
C100006,07/09/2023,South,Bronze,user6@example.com
C100007,09/08/2022,East,Bronze,user7@example.com
C100008,12/15/2021,Central,Bronze,user8@example.com
C100009,07/05/2021,East,Silver,user9@example.com
C100010,02/03/2022,West,Bronze,user10@example.com
C100011,06/20/2022,South,Bronze,user11@example.com
C100012,08/08/2022,South,Bronze,user12@example.com
C100013,12/12/2021,Central,Platinum,user13@example.com
C100014,01/02/2022,West,Gold,user14@example.com
C100015,07/09/2022,West,Bronze,user15@example.com
C100016,01/01/2023,South,Silver,user16@example.com
C100017,06/24/2023,South,Silver,user17@example.com
C100018,06/17/2021,South,Bronze,user18@example.com
C100019,09/26/2023,North,Bronze,user19@example.com
C100020,03/10/2021,North,Silver,user20@example.com
C100021,03/09/2022,Central,Platinum,user21@example.com
C100022,06/15/2023,Central,Platinum,user22@example.com
C100023,01/27/2022,North,Gold,user23@example.com
C100024,07/30/2023,North,Bronze,user24@example.com
C100025,05/28/2022,North,Silver,user25@example.com
C100026,03/17/2021,South,Silver,user26@example.com
C100027,04/04/2023,West,Silver,user27@example.com
C100028,09/08/2021,South,Bronze,user28@example.com
C100029,01/07/2021,North,Silver,user29@example.com
C100030,02/27/2023,North,Silver,user30@example.com
C100031,03/21/2022,North,Bronze,user31@example.com
C100032,02/14/2021,West,Gold,user32@example.com
C100033,12/05/2022,North,Bronze,user33@example.com
C100034,11/22/2021,South,Silver,user34@example.com
C100035,04/05/2023,Central,Gold,user35@example.com
C100036,06/02/2021,South,Gold,user36@example.com
C100037,07/03/2021,North,Bronze,user37@example.com
C100038,08/08/2023,North,Silver,user38@example.com
C100039,04/23/2021,West,Platinum,user39@example.com
C100040,02/03/2023,South,Bronze,user40@example.com
C100041,07/09/2021,West,Silver,user41@example.com
C100042,08/19/2023,South,Platinum,user42@example.com
C100043,10/18/2021,Central,Platinum,user43@example.com
C100044,11/09/2021,South,Silver,user44@example.com
C100045,07/21/2021,South,Platinum,user45@example.com
C100046,04/08/2022,Central,Gold,user46@example.com
C100047,07/05/2022,South,Platinum,user47@example.com
C100048,02/12/2023,West,Silver,user48@example.com
C100049,05/10/2022,West,Silver,user49@example.com
C100050,05/18/2021,East,Bronze,user50@example.com
C100051,05/06/2023,South,Silver,user51@example.com
C100052,04/29/2022,West,Bronze,user52@example.com
C100053,07/15/2021,South,Bronze,user53@example.com
C100054,03/14/2021,North,Silver,user54@example.com
C100055,05/02/2023,West,Platinum,user55@example.com
C100056,08/03/2023,North,Silver,user56@example.com
C100057,09/15/2021,Central,Bronze,user57@example.com
C100058,12/06/2022,South,Platinum,user58@example.com
C100059,02/05/2022,Central,Silver,user59@example.com
C100060,01/10/2022,North,Bronze,user60@example.com
C100061,07/17/2023,North,Silver,user61@example.com
C100062,12/16/2021,South,Gold,user62@example.com
C100063,07/30/2023,South,Gold,user63@example.com
C100064,08/28/2022,East,Silver,user64@example.com
C100065,02/04/2023,South,Silver,user65@example.com
C100066,08/07/2022,West,Gold,user66@example.com
C100067,10/07/2021,West,Gold,user67@example.com
C100068,06/07/2022,North,Silver,user68@example.com
C100069,01/16/2023,West,Platinum,user69@example.com
C100070,03/15/2023,East,Bronze,user70@example.com
C100071,03/25/2022,Central,Bronze,user71@example.com
C100072,11/14/2021,Central,Platinum,user72@example.com
C100073,01/27/2022,West,Bronze,user73@example.com
C100074,06/01/2021,North,Silver,user74@example.com
C100075,04/03/2021,South,Silver,user75@example.com
C100076,01/30/2023,East,Silver,user76@example.com
C100077,08/13/2021,South,Bronze,user77@example.com
C100078,10/24/2022,South,Bronze,user78@example.com
C100079,12/23/2021,South,Bronze,user79@example.com
C100080,07/21/2023,South,Silver,user80@example.com
C100081,04/27/2022,East,Silver,user81@example.com
C100082,08/03/2022,South,Silver,user82@example.com
C100083,06/11/2023,North,Bronze,user83@example.com
C100084,08/08/2021,Central,Bronze,user84@example.com
C100085,04/27/2022,North,Silver,user85@example.com
C100086,01/20/2021,North,Gold,user86@example.com
C100087,07/13/2023,Central,Silver,user87@example.com
C100088,06/01/2022,North,Bronze,user88@example.com
C100089,02/27/2023,Central,Bronze,user89@example.com
C100090,02/03/2021,North,Bronze,user90@example.com
C100091,05/04/2021,South,Gold,user91@example.com
C100092,10/14/2021,South,Bronze,user92@example.com
C100093,11/29/2022,Central,Silver,user93@example.com
C100094,01/12/2023,Central,Bronze,user94@example.com
C100095,04/22/2023,South,Bronze,user95@example.com
C100096,09/17/2023,Central,Silver,user96@example.com
C100097,09/05/2023,South,Bronze,user97@example.com
C100098,06/15/2023,North,Gold,user98@example.com
C100099,02/20/2022,North,Bronze,user99@example.com
C100100,05/11/2021,North,Gold,user100@example.com
C100101,03/25/2021,North,Bronze,user101@example.com
C100102,08/05/2023,North,Silver,user102@example.com
C100103,02/07/2022,,Silver,user103@example.com
C100104,01/22/2021,West,Bronze,user104@example.com
C100105,09/24/2022,Central,Bronze,user105@example.com
C100106,08/03/2022,Central,Gold,user106@example.com
C100107,07/23/2021,Central,Silver,user107@example.com
C100108,08/13/2023,Central,Bronze,user108@example.com
C100109,02/17/2021,South,Bronze,user109@example.com
C100110,02/24/2023,West,Bronze,user110@example.com
C100111,06/09/2022,North,Bronze,user111@example.com
C100112,12/16/2021,North,Bronze,user112@example.com
C100113,04/18/2021,East,Silver,user113@example.com
C100114,01/16/2023,East,Gold,user114@example.com
C100115,01/29/2022,West,Gold,user115@example.com
C100116,04/25/2023,South,Gold,user116@example.com
C100117,04/16/2023,South,Bronze,user117@example.com
C100118,09/15/2022,South,Silver,user118@example.com
C100119,10/17/2022,East,Gold,user119@example.com
C100120,09/29/2022,West,Platinum,user120@example.com
C100121,10/04/2021,Central,Gold,user121@example.com
C100122,11/06/2021,West,Silver,user122@example.com
C100123,07/01/2023,West,Bronze,user123@example.com
C100124,04/08/2023,North,Gold,user124@example.com
C100125,02/05/2021,West,Bronze,user125@example.com
C100126,03/28/2023,North,Bronze,user126@example.com
C100127,09/18/2021,Central,Bronze,user127@example.com
C100128,03/23/2023,North,Silver,user128@example.com
C100129,04/02/2022,North,Platinum,user129@example.com
C100130,04/20/2022,North,Bronze,user130@example.com
C100131,02/02/2023,North,Platinum,user131@example.com
C100132,07/21/2022,West,Gold,user132@example.com
C100133,07/10/2022,East,Bronze,user133@example.com
C100134,08/04/2021,East,Bronze,user134@example.com
C100135,09/01/2023,South,Silver,user135@example.com
C100136,03/11/2022,Central,Silver,user136@example.com
C100137,02/09/2021,South,Bronze,user137@example.com
C100138,05/12/2021,East,Gold,user138@example.com
